english_sentence,turkish_sentence,english_word,turkish_word,word_info
"The book fell ___ the shelf.","Kitap raftan düştü.",from,den/dan,preposition
"The ___ door is locked.","Ön kapı kilitli.",front,ön,adjective
"Wait at the ___ of the line.","Sıranın önünde bekle.",front,ön,noun
"I love eating ___.","Meyve yemeyi severim.",fruit,meyve,noun
"The glass is ___ of water.","Bardak su ile dolu.",full,dolu,adjective
"We had a lot of ___.","Çok eğlendik.",fun,eğlence,noun
"That joke was ___.","O şaka komikti.",funny,komik,adjective
"Think about your ___.","Geleceğini düşün.",future,gelecek,noun
"Let's play a ___.","Bir oyun oynayalım.",game,oyun,noun
"The ___ needs water.","Bahçenin suya ihtiyacı var.",garden,bahçe,noun
"I study ___ at school.","Okulda coğrafya okuyorum.",geography,coğrafya,noun
"___ ready for school.","Okul için hazırlan.",get,hazırlanmak,verb
"The ___ is reading a book.","Kız kitap okuyor.",girl,kız,noun
"His ___ is from Italy.","Kız arkadaşı İtalya'dan.",girlfriend,kız arkadaş,noun
"___ me your hand.","Elini ver.",give,vermek,verb
"Can I have a ___ of water?","Bir bardak su alabilir miyim?",glass,bardak,noun
"Let's ___ to the park.","Parka gidelim.",go,gitmek,verb
"That's a ___ idea!","Bu iyi bir fikir!",good,iyi,adjective
"___, see you tomorrow!","Hoşçakal, yarın görüşürüz!",goodbye,hoşçakal,exclamation
"It's time to say ___.","Hoşçakal deme vakti.",goodbye,hoşçakal,noun
"My ___ tells great stories.","Büyükbabam harika hikayeler anlatır.",grandfather,büyükbaba,noun
"My ___ makes delicious cookies.","Büyükannem lezzetli kurabiyeler yapar.",grandmother,büyükanne,noun
"I visit my ___ every weekend.","Her hafta sonu büyükannemi ziyaret ederim.",grandparent,büyükanne/büyükbaba,noun
"That's a ___ movie!","Bu harika bir film!",great,harika,adjective
"My favorite color is ___.","En sevdiğim renk yeşil.",green,yeşil,adjective
"The ___ looks beautiful.","Yeşillik çok güzel görünüyor.",green,yeşil,noun
"The sky is ___ today.","Gökyüzü bugün gri.",grey,gri,adjective
"I don't like wearing ___.","Gri giymeyi sevmem.",grey,gri,noun
"We work in a ___.","Bir grupta çalışıyoruz.",group,grup,noun
"Plants ___ in spring.","Bitkiler baharda büyür.",grow,büyümek,verb
"Take a ___ at the answer.","Cevabı tahmin et.",guess,tahmin,noun
"Can you ___ my age?","Yaşımı tahmin edebilir misin?",guess,tahmin etmek,verb
"She plays the ___.","O gitar çalıyor.",guitar,gitar,noun
"I go to the ___ every morning.","Her sabah spor salonuna gidiyorum.",gym,spor salonu,noun
"She has long brown ___.","Uzun kahverengi saçları var.",hair,saç,noun
"___ of the cake is left.","Pastanın yarısı kaldı.",half,yarım,determiner
"Cut it in ___.","Ortadan ikiye böl.",half,yarı,noun
"___ of them agreed.","Yarısı kabul etti.",half,yarısı,pronoun
"Give me your ___.","Elini ver.",hand,el,noun
"What ___ next?","Sonra ne oldu?",happen,olmak,verb
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"She looks very ___ today.","O bugün çok mutlu görünüyor.",happy,mutlu,adjective
"Math is a ___ subject.","Matematik zor bir konu.",hard,zor,adjective
"He works ___ every day.","O her gün sıkı çalışır.",hard,sıkı,adverb
"She's wearing a new ___.","O yeni bir şapka takıyor.",hat,şapka,noun
"I ___ waiting in lines.","Sırada beklemeyi nefret ederim.",hate,nefret etmek,verb
"I ___ a cat.","Bir kedim var.",have,sahip olmak,verb
"We ___ finish this today.","Bunu bugün bitirmek zorundayız.",have to,zorunda olmak,modal verb
"___ is my brother.","O benim erkek kardeşim.",he,o,pronoun
"My ___ hurts.","Başım ağrıyor.",head,baş,noun
"___ is important.","Sağlık önemlidir.",health,sağlık,noun
"Eating vegetables is ___.","Sebze yemek sağlıklıdır.",healthy,sağlıklı,adjective
"Can you ___ the music?","Müziği duyabiliyor musun?",hear,duymak,verb
"___, how are you?","Merhaba, nasılsın?",hello,merhaba,exclamation
"Say ___ to your friend.","Arkadaşına merhaba de.",hello,merhaba,noun
"I need your ___.","Yardımına ihtiyacım var.",help,yardım,noun
"Can you ___ me?","Bana yardım edebilir misin?",help,yardım etmek,verb
"That's ___ book.","Bu onun kitabı.",her,onun,determiner
"I saw ___ yesterday.","Onu dün gördüm.",her,onu,pronoun
"Come ___, please.","Buraya gel, lütfen.",here,buraya,adverb
"___, what's up?","Hey, naber?",hey,hey,exclamation
"___, good morning!","Selam, günaydın!",hi,selam,exclamation
"The building is very ___.","Bina çok yüksek.",high,yüksek,adjective
"I gave ___ the book.","Ona kitabı verdim.",him,ona,pronoun
"That's ___ car.","Bu onun arabası.",his,onun,determiner
"I love ___ class.","Tarih dersini seviyorum.",history,tarih,noun
"Reading is my ___.","Okumak benim hobim.",hobby,hobi,noun
"We're going on ___.","Tatile gidiyoruz.",holiday,tatil,noun
"Let's go ___.","Eve gidelim.",home,eve,adverb
"My ___ is near.","Evim yakında.",home,ev,noun
"I have a lot of ___.","Çok ödevim var.",homework,ödev,noun
"I ___ you like it.","Beğeneceğini umuyorum.",hope,ummak,verb
"She rides a ___.","O at biniyor.",horse,at,noun
"My father is in the ___.","Babam hastanede.",hospital,hastane,noun
"The soup is too ___.","Çorba çok sıcak.",hot,sıcak,adjective
"We stayed at a ___.","Bir otelde kaldık.",hotel,otel,noun
"I'll be back in an ___.","Bir saat içinde döneceğim.",hour,saat,noun
"They have a big ___.","Büyük bir evleri var.",house,ev,noun
"___ are you?","Nasılsın?",how,nasıl,adverb
"___, I don't agree.","Ancak, katılmıyorum.",however,ancak,adverb
"We need a ___ tickets.","Yüz bilete ihtiyacımız var.",hundred,yüz,number
"I'm ___, let's eat.","Açım, hadi yemek yiyelim.",hungry,aç,adjective
"My ___ is a doctor.","Kocam bir doktor.",husband,koca,noun
"___ love reading.","Okumayı seviyorum.",i,ben,pronoun
"Put some ___ in my drink.","İçeceğime biraz buz koy.",ice,buz,noun
"Let's get some ___.","Biraz dondurma alalım.",ice cream,dondurma,noun
"That's a good ___!","Bu iyi bir fikir!",idea,fikir,noun
"___ it rains, stay home.","Eğer yağmur yağarsa, evde kal.",if,eğer,conjunction
"___ your future.","Geleceğini hayal et.",imagine,hayal etmek,verb
"This test is ___.","Bu test önemli.",important,önemli,adjective
"You need to ___ your English.","İngilizceni geliştirmen gerek.",improve,geliştirmek,verb
"Come ___, please.","İçeri gel, lütfen.",in,içeri,adverb
"The cat is ___ the box.","Kedi kutunun içinde.",in,içinde,preposition
"The price ___ tax.","Fiyat vergiyi içerir.",include,içermek,verb
"I need more ___.","Daha fazla bilgiye ihtiyacım var.",information,bilgi,noun
"Music is my main ___.","Müzik benim ana ilgi alanım.",interest,ilgi alanı,noun
"Does politics ___ you?","Politika seni ilgilendiriyor mu?",interest,ilgilendirmek,verb
"I'm ___ in art.","Sanatla ilgileniyorum.",interested,ilgili,adjective
"This book is ___.","Bu kitap ilginç.",interesting,ilginç,adjective
"I found it on the ___.","Bunu internette buldum.",internet,internet,noun
"I have a job ___ tomorrow.","Yarın iş görüşmem var.",interview,iş görüşmesi,noun
"They will ___ me next week.","Benimle gelecek hafta görüşecekler.",interview,görüşmek,verb
"The cat jumped ___ the box.","Kedi kutunun içine atladı.",into,içine,preposition
"Let me ___ myself.","Kendimi tanıtayım.",introduce,tanıtmak,verb
"We visited a tropical ___.","Tropikal bir ada ziyaret ettik.",island,ada,noun
"___ is raining.","Yağmur yağıyor.",it,o,pronoun
"The dog wagged ___ tail.","Köpek kuyruğunu salladı.",its,kendi,determiner
"Where is my ___?","Ceketim nerede?",jacket,ceket,noun
"Her birthday is in ___.","Doğum günü Ocak'ta.",january,Ocak,noun
"She's wearing blue ___.","Mavi kot pantolon giyiyor.",jeans,kot pantolon,noun
"He loves his ___.","İşini seviyor.",job,iş,noun
"Would you like to ___ us?","Bize katılmak ister misin?",join,katılmak,verb
"It was a long ___.","Uzun bir yolculuktu.",journey,yolculuk,noun
"I'd like orange ___.","Portakal suyu istiyorum.",juice,meyve suyu,noun
"We go on holiday in ___.","Temmuz'da tatile çıkarız.",july,Temmuz,noun
"Summer starts in ___.","Yaz Haziran'da başlar.",june,Haziran,noun
"I've ___ arrived.","Yeni geldim.",just,yeni,adverb
"___ the secret.","Sırrı sakla.",keep,saklamak,verb
"This is a ___ issue.","Bu önemli bir konu.",key,önemli,adjective
"I lost my ___.","Anahtarımı kaybettim.",key,anahtar,noun
"It's ten ___ away.","On kilometre uzakta.",kilometre,kilometre,noun
"What ___ of music do you like?","Ne tür müzik seversin?",kind,tür,noun
"The ___ is downstairs.","Mutfak alt katta.",kitchen,mutfak,noun
"I ___ the answer.","Cevabı biliyorum.",know,bilmek,verb
"They bought some ___.","Biraz arazi satın aldılar.",land,arazi,noun
"I speak three ___s.","Üç dil konuşuyorum.",language,dil,noun
"It's a ___ room.","Bu geniş bir oda.",large,geniş,adjective
"This is my ___ chance.","Bu benim son şansım.",last,son,determiner
"Sorry I'm ___.","Üzgünüm geç kaldım.",late,geç,adjective
"He arrived ___.","Geç geldi.",late,geç,adverb
"See you ___.","Sonra görüşürüz.",later,sonra,adverb
"Her ___ is beautiful.","Onun gülüşü güzel.",laugh,gülüş,noun
"Don't ___ at me!","Bana gülme!",laugh,gülmek,verb
"I want to ___ Japanese.","Japonca öğrenmek istiyorum.",learn,öğrenmek,verb
"Please don't ___ me.","Lütfen beni bırakma.",leave,bırakmak,verb
"Turn ___ here.","Buradan sola dön.",left,sol,adjective
"The shop is ___ of here.","Dükkan buranın solunda.",left,solunda,adverb
"Write with your ___ hand.","Sol elinle yaz.",left,sol,noun
"My ___ hurts.","Bacağım ağrıyor.",leg,bacak,noun
"The ___ starts at 9.","Ders saat 9'da başlıyor.",lesson,ders,noun
"___ me help you.","Sana yardım etmeme izin ver.",let,izin vermek,verb
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"I received a ___ today.","Bugün bir mektup aldım.",letter,mektup,noun
"Let's go to the ___.","Kütüphaneye gidelim.",library,kütüphane,noun
"Don't ___ to me.","Bana yalan söyleme.",lie,yalan söylemek,verb
"___ is beautiful.","Hayat güzel.",life,hayat,noun
"This bag is very ___.","Bu çanta çok hafif.",light,hafif,adjective
"Turn on the ___.","Işığı aç.",light,ışık,noun
"She looks ___ her mother.","O annesi gibi görünüyor.",like,gibi,preposition
"I ___ ice cream.","Dondurma severim.",like,sevmek,verb
"Draw a straight ___.","Düz bir çizgi çiz.",line,çizgi,noun
"The ___ is the king of jungle.","Aslan ormanın kralıdır.",lion,aslan,noun
"Make a shopping ___.","Alışveriş listesi yap.",list,liste,noun
"Please ___ all items.","Lütfen tüm öğeleri listele.",list,listelemek,verb
"___ to the music.","Müziği dinle.",listen,dinlemek,verb
"The cup is too ___.","Bardak çok küçük.",little,küçük,adjective
"I have ___ time.","Az zamanım var.",little,az,determiner
"___ is known about this.","Bu konu hakkında az şey biliniyor.",little,az,pronoun
"They ___ in London.","Onlar Londra'da yaşıyor.",live,yaşamak,verb
"I prefer ___ restaurants.","Yerel restoranları tercih ederim.",local,yerel,adjective
"The road is very ___.","Yol çok uzun.",long,uzun,adjective
"How ___ have you been here?","Ne zamandır buradasın?",long,uzun,adverb
"___ at that building.","Şu binaya bak.",look,bakmak,verb
"Don't ___ your keys.","Anahtarlarını kaybetme.",lose,kaybetmek,verb
"I feel a ___ better now.","Şimdi çok daha iyi hissediyorum.",lot,çok,adverb
"She has a ___ of books.","Onun çok kitabı var.",lot,çok,determiner
"___ of people came.","Çok insan geldi.",lot,çok,pronoun
"This is ___ at first sight.","Bu ilk görüşte aşk.",love,aşk,noun
"I ___ chocolate.","Çikolatayı severim.",love,sevmek,verb
"Let's have ___ together.","Birlikte öğle yemeği yiyelim.",lunch,öğle yemeği,noun
"The ___ is broken.","Makine bozuk.",machine,makine,noun
"She reads ___ articles.","O dergi makaleleri okuyor.",magazine,dergi,noun
"This is the ___ entrance.","Bu ana giriş.",main,ana,adjective
"Let's ___ a cake.","Bir pasta yapalım.",make,yapmak,verb
"A ___ is walking down the street.","Bir adam sokakta yürüyor.",man,adam,noun
"How ___ people are there?","Kaç kişi var?",many,çok,determiner
"___ of us like coffee.","Çoğumuz kahveyi sever.",many,çoğu,pronoun
"Show me the ___ please.","Lütfen haritayı göster.",map,harita,noun
"The parade is in ___.","Geçit töreni Mart'ta.",march,Mart,noun
"Let's go to the ___.","Pazara gidelim.",market,pazar,noun
"They are ___ now.","Onlar şimdi evli.",married,evli,adjective
"Do you have a ___.","Kibritin var mı?",match,kibrit,noun
"These colors ___ perfectly.","Bu renkler mükemmel uyuşuyor.",match,uyuşmak,verb
"Spring starts in ___.","Bahar Mayıs'ta başlar.",may,Mayıs,noun
"___ we can go tomorrow.","Belki yarın gidebiliriz.",maybe,belki,adverb
"Give it to ___.","Onu bana ver.",me,ben,pronoun
"It's time for a ___.","Yemek vakti.",meal,yemek,noun
"What do you ___?","Ne demek istiyorsun?",mean,demek istemek,verb
"What's the ___ of this word?","Bu kelimenin anlamı ne?",meaning,anlam,noun
"I don't eat ___.","Et yemem.",meat,et,noun
"Let's ___ at the cafe.","Kafede buluşalım.",meet,buluşmak,verb
"The ___ starts at 9.","Toplantı 9'da başlıyor.",meeting,toplantı,noun
"He is a ___ of the club.","O kulübün bir üyesi.",member,üye,noun
"Can I see the ___?","Menüyü görebilir miyim?",menu,menü,noun
"Send me a ___.","Bana bir mesaj gönder.",message,mesaj,noun
"The pool is 25 ___ long.","Havuz 25 metre uzunluğunda.",metre,metre,noun
"It's almost ___.","Neredeyse gece yarısı.",midnight,gece yarısı,noun
"It's two ___ away.","İki mil uzakta.",mile,mil,noun
"I need some ___.","Biraz süte ihtiyacım var.",milk,süt,noun
"One ___ people live here.","Burada bir milyon insan yaşıyor.",million,milyon,number
"Wait a ___, please.","Bir dakika bekle lütfen.",minute,dakika,noun
"I ___ you a lot.","Seni çok özlüyorum.",miss,özlemek,verb
"We all make ___.","Hepimiz hata yaparız.",mistake,hata,noun
"She works as a ___.","O model olarak çalışıyor.",model,model,noun
"It's a ___ building.","Bu modern bir bina.",modern,modern,adjective
"Wait a ___, please.","Bir an bekle lütfen.",moment,an,noun
"See you on ___.","Pazartesi görüşürüz.",monday,Pazartesi,noun
"I need some ___.","Biraz paraya ihtiyacım var.",money,para,noun
"Which ___ is it?","Hangi ay?",month,ay,noun
"I need ___ time.","Daha fazla zamana ihtiyacım var.",more,daha fazla,adverb
"Do you have ___ questions?","Başka sorun var mı?",more,daha fazla,determiner
"I want ___ of it.","Ondan daha fazla istiyorum.",more,daha fazla,pronoun
"Good ___.","Günaydın.",morning,sabah,noun
"She runs the ___.","O en hızlı koşuyor.",most,en,adverb
"___ people like coffee.","Çoğu insan kahveyi sever.",most,çoğu,determiner
"___ of them agreed.","Çoğu kabul etti.",most,çoğu,pronoun
"My ___ is a teacher.","Annem bir öğretmen.",mother,anne,noun
"We climbed the ___.","Dağa tırmandık.",mountain,dağ,noun
"The cat caught a ___.","Kedi bir fare yakaladı.",mouse,fare,noun
"Open your ___.","Ağzını aç.",mouth,ağız,noun
"Please don't ___.","Lütfen hareket etme.",move,hareket etmek,verb
"Let's watch a ___.","Bir film izleyelim.",movie,film,noun
"He talks too ___.","O çok konuşuyor.",much,çok,adverb
"How ___ sugar do you want?","Ne kadar şeker istersin?",much,ne kadar,determiner
"This is too ___.","Bu çok fazla.",much,çok,pronoun
"My ___ is cooking dinner.","Annem akşam yemeği pişiriyor.",mum,anne,noun
"The ___ is closed today.","Müze bugün kapalı.",museum,müze,noun
"I love classical ___.","Klasik müziği severim.",music,müzik,noun
"You ___ study hard.","Sıkı çalışmalısın.",must,meli/malı,modal verb
"This is ___ book.","Bu benim kitabım.",my,benim,determiner
"What's your ___?","Adın ne?",name,ad,noun
"Can you ___ one thing?","Bir şey söyleyebilir misin?",name,söylemek,verb
"It's a ___ park.","Bu doğal bir park.",natural,doğal,adjective
"The store is ___ here.","Mağaza buraya yakın.",near,yakın,adjective
"The summer is ___.","Yaz yaklaşıyor.",near,yakın,adverb
"The cafe is ___ the bank.","Kafe bankanın yanında.",near,yanında,preposition
"I ___ help.","Yardıma ihtiyacım var.",need,ihtiyacı olmak,verb
"Don't be so ___.","Bu kadar olumsuz olma.",negative,olumsuz,adjective
"Our ___ has a dog.","Komşumuzun bir köpeği var.",neighbour,komşu,noun
"I ___ eat fish.","Asla balık yemem.",never,asla,adverb
"I bought a ___ car.","Yeni bir araba aldım.",new,yeni,adjective
"This is good ___.","Bu iyi bir haber.",news,haber,noun
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"I read the ___ every morning.","Her sabah gazete okurum.",newspaper,gazete,noun
"The ___ week will be busy.","Gelecek hafta yoğun olacak.",next,gelecek,adjective
"What happens ___?","Sonra ne olur?",next,sonra,adverb
"The bank is ___ the post office.","Banka postane yanında.",next to,yanında,preposition
"That's a ___ dress.","Bu güzel bir elbise.",nice,güzel,adjective
"Good ___.","İyi geceler.",night,gece,noun
"I have ___ books.","Dokuz kitabım var.",nine,dokuz,number
"She is ___ years old.","O on dokuz yaşında.",nineteen,on dokuz,number
"The temperature is ___ degrees.","Sıcaklık doksan derece.",ninety,doksan,number
"I have ___ time.","Zamanım yok.",no,hayır,determiner
"___, I don't want to go.","Hayır, gitmek istemiyorum.",no,hayır,exclamation
"___ knows the answer.","Kimse cevabı bilmiyor.",no one,kimse,pronoun
"___ came to the party.","Partiye kimse gelmedi.",nobody,kimse,pronoun
"The ___ wind is cold.","Kuzey rüzgarı soğuk.",north,kuzey,adjective
"The birds flew ___.","Kuşlar kuzeye uçtu.",north,kuzeye,adverb
"We are traveling ___.","Kuzeye gidiyoruz.",north,kuzey,noun
"My ___ is running.","Burnum akıyor.",nose,burun,noun
"I'm ___ hungry.","Aç değilim.",not,değil,adverb
"Take a ___ of this.","Bunun notunu al.",note,not,noun
"There is ___ in the box.","Kutuda hiçbir şey yok.",nothing,hiçbir şey,pronoun
"My birthday is in ___.","Doğum günüm Kasım'da.",november,Kasım,noun
"I need it ___.","Şimdi ona ihtiyacım var.",now,şimdi,adverb
"What's your phone ___?","Telefon numaran nedir?",number,numara,noun
"The ___ helped me.","Hemşire bana yardım etti.",nurse,hemşire,noun
"It's eight ___.","Saat sekiz.",o'clock,saat,adverb
"This is an interesting ___.","Bu ilginç bir nesne.",object,nesne,noun
"Halloween is in ___.","Cadılar Bayramı Ekim'de.",october,Ekim,noun
"This is the book ___ my friend.","Bu arkadaşımın kitabı.",of,ait,preposition
"The light is ___.","Işık kapalı.",off,kapalı,adverb
"Take it ___ the table.","Onu masadan al.",off,den/dan,preposition
"I work in an ___.","Bir ofiste çalışıyorum.",office,ofis,noun
"How ___ do you exercise?","Ne sıklıkla egzersiz yaparsın?",often,sık sık,adverb
"___, I forgot my keys!","Ah, anahtarlarımı unuttum!",oh,ah,exclamation
"Everything is ___.","Her şey yolunda.",ok,tamam,adjective
"That works ___.","O iyi çalışıyor.",ok,tamam,adverb
"___, I understand.","Tamam, anlıyorum.",ok,tamam,exclamation
"My car is very ___.","Arabam çok eski.",old,eski,adjective
"The TV is ___.","Televizyon açık.",on,açık,adverb
"The book is ___ the table.","Kitap masanın üstünde.",on,üstünde,preposition
"I met him ___ at a cafe.","Onunla bir kez bir kafede karşılaştım.",once,bir kez,adverb
"I have ___ sister.","Bir kız kardeşim var.",one,bir,determiner
"___ plus ___ equals two.","Bir artı bir iki eder.",one,bir,number
"This is the ___ I want.","İstediğim bu.",one,bir,pronoun
"Cut the ___ please.","Soğanı kes lütfen.",onion,soğan,noun
"The course is ___.","Kurs çevrimiçi.",online,çevrimiçi,adjective
"I shop ___.","İnternetten alışveriş yaparım.",online,çevrimiçi,adverb
"These are my ___ keys.","Bunlar benim tek anahtarlarım.",only,tek,adjective
"I ___ wanted to help.","Sadece yardım etmek istedim.",only,sadece,adverb
"The door is ___.","Kapı açık.",open,açık,adjective
"Please ___ the window.","Lütfen pencereyi aç.",open,açmak,verb
"What's your ___ about this?","Bu konuda fikrin ne?",opinion,fikir,noun
"Our houses are ___.","Evlerimiz karşı karşıya.",opposite,karşı,adjective
"The school is ___.","Okul karşıda.",opposite,karşıda,adverb
"Hot is the ___ of cold.","Sıcak soğuğun zıttıdır.",opposite,zıt,noun
"The bank is ___ the school.","Banka okulun karşısında.",opposite,karşısında,preposition
"Tea ___ coffee?","Çay mı kahve mi?",or,veya,conjunction
"The ___ juice is fresh.","Portakal suyu taze.",orange,portakal,adjective
"I eat an ___ every day.","Her gün bir portakal yerim.",orange,portakal,noun
"Can I take your ___?","Siparişinizi alabilir miyim?",order,sipariş,noun
"Let's ___ pizza.","Pizza söyleyelim.",order,sipariş vermek,verb
"The ___ students left.","Diğer öğrenciler gitti.",other,diğer,adjective
"Some like tea, ___ prefer coffee.","Bazıları çayı, diğerleri kahveyi tercih eder.",other,diğerleri,pronoun
"___ house is big.","Bizim evimiz büyük.",our,bizim,determiner
"Time is running ___.","Zaman geçiyor.",out,dışarı,adverb
"He went ___ the room.","Odadan çıktı.",out,dışarı,preposition
"Let's go ___.","Dışarı çıkalım.",outside,dışarı,adverb
"The game is ___.","Oyun bitti.",over,bitti,adverb
"The plane flew ___ the city.","Uçak şehrin üzerinden uçtu.",over,üzerinden,preposition
"This is my ___ car.","Bu benim kendi arabam.",own,kendi,adjective
"This book is my ___.","Bu kitap benim.",own,kendi,pronoun
"Turn to ___ 5.","Sayfa 5'e dön.",page,sayfa,noun
"The ___ is blue.","Boya mavi.",paint,boya,noun
"Let's ___ the wall.","Duvarı boyayalım.",paint,boyamak,verb
"This ___ is beautiful.","Bu resim çok güzel.",painting,resim,noun
"I need a ___ of shoes.","Bir çift ayakkabıya ihtiyacım var.",pair,çift,noun
"I need some ___.","Biraz kağıda ihtiyacım var.",paper,kağıt,noun
"Write a ___.","Bir paragraf yaz.",paragraph,paragraf,noun
"My ___ are teachers.","Ebeveynlerim öğretmen.",parent,ebeveyn,noun
"The ___ is beautiful.","Park çok güzel.",park,park,noun
"___ your car here.","Arabanı buraya park et.",park,park etmek,verb
"This is my favorite ___.","Bu benim favori parçam.",part,parça,noun
"He is my business ___.","O benim iş ortağım.",partner,ortak,noun
"Let's have a ___.","Parti yapalım.",party,parti,noun
"I lost my ___.","Pasaportumu kaybettim.",passport,pasaport,noun
"In the ___ year.","Geçen yıl.",past,geçmiş,adjective
"Learn from the ___.","Geçmişten ders al.",past,geçmiş,noun
"The shop is ___ the bank.","Dükkan bankanın ötesinde.",past,ötesinde,preposition
"Please ___ for this.","Lütfen bunun için öde.",pay,ödemek,verb
"Can I borrow your ___?","Kalemini ödünç alabilir miyim?",pen,kalem,noun
"Write with a ___.","Kurşun kalemle yaz.",pencil,kurşun kalem,noun
"Many ___ like coffee.","Birçok insan kahveyi sever.",people,insan,noun
"Add salt and ___.","Tuz ve biber ekle.",pepper,biber,noun
"Your English is ___.","İngilizcen mükemmel.",perfect,mükemmel,adjective
"This is a difficult ___.","Bu zor bir dönem.",period,dönem,noun
"I am the only ___ here.","Burada tek kişi benim.",person,kişi,noun
"This is my ___ opinion.","Bu benim kişisel görüşüm.",personal,kişisel,adjective
"Call me on my ___.","Beni telefonumdan ara.",phone,telefon,noun
"___ me tomorrow.","Beni yarın ara.",phone,aramak,verb
"Take a ___ of me.","Benim bir fotoğrafımı çek.",photo,fotoğraf,noun
"This ___ is old.","Bu fotoğraf eski.",photograph,fotoğraf,noun
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"I learned a new ___ today.","Bugün yeni bir deyim öğrendim.",phrase,deyim,noun
"She plays the ___ beautifully.","O piyanoyu güzel çalıyor.",piano,piyano,noun
"I took a ___ of the sunset.","Gün batımının fotoğrafını çektim.",picture,fotoğraf,noun
"Can I have a ___ of cake?","Bir dilim pasta alabilir miyim?",piece,dilim,noun
"The ___ lives on the farm.","Domuz çiftlikte yaşıyor.",pig,domuz,noun
"She's wearing a ___ dress.","O pembe bir elbise giyiyor.",pink,pembe,adjective
"___ is her favorite color.","Pembe onun en sevdiği renk.",pink,pembe,noun
"This is a nice ___ to live.","Burası yaşamak için güzel bir yer.",place,yer,noun
"What's your ___ for tomorrow?","Yarın için planın ne?",plan,plan,noun
"Let's ___ our vacation.","Tatilimizi planlayalım.",plan,planlamak,verb
"The ___ takes off at 6.","Uçak saat 6'da kalkıyor.",plane,uçak,noun
"I have a new ___ in my garden.","Bahçemde yeni bir bitki var.",plant,bitki,noun
"The ___ was excellent.","Oyun harikaydı.",play,oyun,noun
"Children ___ in the park.","Çocuklar parkta oynuyor.",play,oynamak,verb
"He's a football ___.","O bir futbolcu.",player,oyuncu,noun
"___, help me!","Lütfen, yardım et!",please,lütfen,exclamation
"What's your main ___?","Ana noktan ne?",point,nokta,noun
